Depth,# of minimax_std evals,Avg branching factor of minimax_std,Avg exec time of minimax_std,# of minimax_alph_bet evals,# of minimax_alph_bet cutoffs,Avg branching factor of minimax_alph_bet,Avg exec time of minimax_alph_bet
5,757627,6.679706322,21.93925878,206144,28740,11.00216256,6.328509308
,Avg,Avg,Med,Avg,Avg,Avg,Med
5,136303.5152,4.389837043,1.723396264,70867.0303,8546.393939,9.798397168,1.74489672
,,,,,,,
6,18288,2.913050476,0.625495354,51187,34733,6.625564237,22.73148891
6,119582,3.534623771,2.787996759,125354,72435,8.205478117,3.362091233
6,138780,3.858601234,4.38334437,335518,156679,8.988282289,11.82016627
6,144613,3.834145387,7.330987608,477490,150985,9.47136568,238.4132233
6,145582,3.880405091,5.98352145,114323,62704,8.594632511,5.02521935
6,145582,3.880405091,6.340485168,114323,62704,8.594632511,103.551614
6,145582,3.880405091,6.032412148,114323,62704,8.594632511,5.014892169
6,157572,3.611040464,5.038415245,162835,84189,8.808383063,5.277441571
6,157572,3.611040464,5.932201852,162835,84189,8.808383063,5.701948603
6,294823,4.190725651,8.883533337,149890,54470,7.211046861,4.741344344
6,294823,4.190725651,7.913811911,149890,54470,7.211046861,4.256682277
6,323931,4.230205423,7.967824394,203987,99739,8.401085923,5.800606088
6,341171,4.145929822,11.42477345,103148,58074,7.773026692,3.548005557
6,341171,4.145929822,13.45272849,103148,58074,7.773026692,4.125353503
6,341171,4.145929822,10.84382882,103148,58074,7.773026692,3.463209128
6,341171,4.145929822,10.99418831,103148,58074,7.773026692,3.571614754
6,553039,4.770622075,16.38932189,132394,60450,10.12485059,4.256075155
6,558716,5.014581841,17.08476654,137743,51575,8.684721212,4.586619425
6,558716,5.014581841,17.21881564,137743,51575,8.684721212,4.448059642
6,558716,5.014581841,128.7296861,137743,51575,8.684721212,8.028042209
6,645303,4.524848366,16.52622104,630968,203757,10.52586593,16.81584233
6,645303,4.524848366,18.68095423,630968,203757,10.52586593,124.2041753
6,645303,4.524848366,25.78500435,630968,203757,10.52586593,24.94371026
6,777186,4.584171239,28.56596641,122280,56213,8.796764856,4.734334843
6,777186,4.584171239,28.39138397,122280,56213,8.796764856,4.387080136
6,931816,4.736439867,29.65124832,324401,108875,9.766346657,11.27865126
6,1583789,5.840233144,44.10440477,339374,116379,10.40700483,9.556841364
6,1658536,5.505327523,41.89607948,305493,122144,9.113831318,8.067553541
6,2237196,5.552945879,70.99924745,337885,152382,10.60435063,10.95388298
6,2237196,5.552945879,189.7300551,337885,152382,10.60435063,11.92858251
6,2237196,5.552945879,98.96146896,337885,152382,10.60435063,14.9311076
6,2274273,5.331879037,77.15407083,315641,147627,10.16190807,8.930386108
6,2274273,5.331879037,70.83245114,315641,147627,10.16190807,9.624693311
,Avg,Avg,Med,Avg,Avg,Avg,Med
6,745610.8182,4.489725591,16.38932189,238540.5758,98514.15152,9.011540392,5.800606088
,,,,,,,
,,,,,,,
,,,,,,,
Depth,# of minimax_std evals,Avg branching factor of minimax_std,Avg exec time of minimax_std,# of minimax_alph_bet evals,# of minimax_alph_bet cutoffs,Avg branching factor of minimax_alph_bet,Avg exec time of minimax_alph_bet
,Avg,Avg,Med,Avg,Avg,Avg,Med
1,149.2727273,6.891705735,0.003373623,163.5151515,0.303030303,7.593518259,0.003839025
2,753.2121212,5.542683114,0.022052537,541,138.7878788,7.10522605,0.014483762
3,5379.393939,5.333464723,0.146084726,4509.212121,425.4848485,9.339062052,0.109870813
4,26265.39394,4.926214641,0.537050711,9300.787879,3496.69697,8.117525293,0.32840804
5,136303.5152,4.389837043,1.723396264,70867.0303,8546.393939,9.798397168,1.74489672
6,745610.8182,4.489725591,16.38932189,238540.5758,98514.15152,9.011540392,5.800606088
